Zona,Nome_01,Domicil_01,Famlias_01,Pop_01,MatrEsc_01,Emp_01,AutPart_01,ViagPro_01,ViagAtr_01,Area_01
394,Jardim São José,6077,6143,20039,2940,4019,3596,34263,34891,408
395,Poá,29554,29554,93455,26399,30491,12069,147730,147690,1322
396,Itaquaquecetuba,33408,33408,106623,23755,29457,18311,191433,191185,1133
397,Quinta da Boa Vista,22478,22802,71598,22310,24159,4877,117372,118377,1420
398,Bonsucesso,34453,34453,110433,23066,23415,18478,151278,151592,3076
399,Pinheirinho,21759,21759,70563,13018,11849,7927,78385,77878,2651
400,Miguel Badra,33931,33931,111948,20289,31750,14413,164405,165432,3271
401,Suzano,43772,43772,136108,43724,54715,25266,304051,303347,3452
402,Guaió,6383,6383,20755,4660,5380,4654,29496,29496,8721
403,Ouro Fino,4788,4788,15737,2382,3908,2425,23150,23156,5223
404,Mogi das Cruzes,30232,30232,87648,34734,50733,18321,246083,245742,1358
405,Estudantes,12462,12462,33892,17327,19180,9719,78612,78506,996
406,Vila Oliveira,11713,11847,35118,15660,22451,9197,92525,92262,2915
407,Brás Cubas,35835,35835,113997,24558,28756,24752,194155,194103,2148
408,Jundiapeba,14440,14440,47561,8685,16277,5881,64941,66207,2375
409,Jardim Graziella,5121,5121,16794,3365,3981,2516,24702,24751,3986
410,Itapeti,2996,2996,9392,1328,6309,1257,16628,16522,15937
411,Sabaúna,4722,4722,15365,3022,5266,3334,24487,24606,4423
412,César de Souza,11986,11986,36330,7345,11214,8567,54898,55292,2933
413,Taiaçupeba,8124,8124,26705,6350,6169,5157,36469,36469,34359
414,Biritiba0Mirim,9984,10574,31477,6826,9193,6171,55225,55134,31813
415,Salesópolis,5233,5233,16559,3854,3800,2796,31693,32178,42597
416,Guararema,9154,9154,28601,6668,10201,7164,46774,46774,27144
417,Santa Paula,16181,16181,43769,11337,24229,13023,111088,110766,295
418,Vila Gerti,17887,17887,50488,16392,14178,13155,92138,91972,380
419,Estrada das Lágrimas,12922,12922,37411,17108,17915,8103,95037,94896,360
420,Santo Antônio,1527,1527,4460,600,9106,892,19182,19202,134
421,São Caetano do Sul,5083,5083,14828,10063,39406,3875,79322,79502,368
422,Santo André,21667,21667,55759,56298,82692,23294,335586,336064,795
423,Vila Gilda,11305,11305,31451,5901,9690,10045,48982,49039,292
424,Valparaíso,8297,8297,23802,11961,10901,5144,47965,47251,247
425,Sacadura Cabral,8753,8753,26843,2339,6881,3423,37229,37229,180
426,Campestre,7219,7219,19642,13087,16190,7487,50356,50159,287
427,Utinga,14883,14883,41926,8752,16511,9781,72338,72371,566
428,Vila Lucinda,18049,18259,51991,14097,12175,13704,90994,90791,458
429,Parque Oratório,19752,19752,59712,9937,16059,20585,100723,101046,579
430,Parque das Nações,13591,13591,40870,6185,12529,5082,67809,68141,528
431,Jardim do Estádio,35635,35635,105758,15101,32501,31133,182665,182335,1142
432,Carijós,37829,37829,111442,17295,35764,32187,182026,182381,914
433,Parque do Pedroso,36762,36762,117905,15823,19948,17819,140093,139039,3165
434,Paranapiacaba,897,913,3039,96,1294,506,6371,6226,8465
435,Capuava,11895,11895,34164,4851,32784,10103,76102,76231,1957
436,Mauá,44489,44489,127883,44340,57134,30162,262717,262833,1131
437,Jardim Zaíra,53569,53569,167856,28929,37171,25112,231013,233322,1240
438,Barão de Mauá,31777,31777,95761,21289,20362,18765,123249,122393,605
439,Estrada do Carneiro,8016,8016,25272,494,2892,5468,26567,26491,1268
440,Ribeirão Pires,26817,26817,81235,20738,32150,14919,176418,176395,5257
441,Jardim Santa Luzia,7391,7391,22824,3356,3384,5911,26523,26892,2520
442,Ouro Fino Paulista,4443,4443,13728,1742,3680,3533,18232,18622,2156
443,Parque Sete Pontes,4249,4249,12913,2174,2849,1921,14438,14479,1886
444,Rio Grande da Serra,11981,11981,35592,10535,5631,4317,47291,47465,1756
445,Planalto,32864,32864,95482,26074,37658,30434,177986,177778,1109
446,Paulicéia,19333,19333,54988,11306,36776,16730,117564,117276,805
447,Rudge Ramos,16925,16925,44474,24166,25064,16988,104527,105037,471
448,Baeta Neves,17233,17233,45474,23772,31487,15799,138770,139750,536
449,São Bernardo do Campo,25516,25516,67205,34751,71661,27568,252676,252354,743
450,Montanhão,56186,56186,172260,26092,42536,32374,250264,249938,1055
451,Demarchi,34615,34615,102171,21348,40124,24786,165816,166085,1059
452,Riacho Grande,14345,14345,47137,9892,11361,10567,61053,60989,3065
453,Caminho do Mar,9714,9714,30620,4584,6289,8687,34445,34557,28152
454,Reservatório Billings,45433,45433,142929,19885,47129,30591,225931,225344,4043
455,Diadema,20135,20135,57426,31917,45431,10073,178702,179318,493
456,Jardim das Nações,33239,33239,99606,19546,31948,19280,166649,167040,591
457,Piraporinha,35119,35119,107955,21289,50649,16804,183740,183802,764
