08_ZResidencia,08_AssCom_Cart,08_AssSem_Cart,08_FunPub,08_Auto,08_Empreg,08_ProfLib,08_DNegFam,08_TraFam,08_Total
298,37137,2237,486,13843,221,0,3511,680,58116
299,2036,326,78,964,0,0,349,0,3753
300,11064,1240,0,2687,2518,1007,1705,0,20221
301,2330,319,324,1907,185,921,254,0,6241
302,3522,351,449,1226,506,1109,871,0,8035
303,2203,521,282,1448,93,191,481,47,5266
304,23053,1625,1008,10121,0,897,838,1148,38691
305,37334,4323,689,13678,0,332,3172,658,60185
306,21418,2015,2508,11072,0,372,488,428,38300
307,26837,3028,263,13927,0,627,4090,0,48772
308,5862,833,813,2675,0,0,2122,0,12304
309,16607,951,377,10557,143,0,1059,202,29896
310,3631,806,0,4729,0,0,911,644,10720
311,26587,2780,799,9951,0,0,270,0,40387
312,9357,273,895,3228,455,1156,1459,0,16824
313,7409,791,902,2725,203,0,0,0,12030
314,31648,639,861,12713,17,401,1394,0,47674
315,32135,2014,894,16208,793,160,2333,1178,55716
316,4465,264,217,639,792,1471,328,64,8240
317,1322,111,81,332,261,283,88,7,2485
318,7682,876,376,1481,182,765,630,91,12084
319,2812,164,88,940,553,456,150,0,5163
320,21243,5329,353,5657,652,1590,353,110,35287
321,11826,587,511,4480,1610,2408,1933,0,23355
322,9692,1392,826,1861,1823,1569,2441,68,19671
323,15651,591,475,9636,0,1137,1902,932,30325
324,13314,724,0,17149,0,0,1131,557,32875
325,9919,2429,1041,4575,0,944,227,0,19135
326,15498,1275,440,6177,450,636,63,0,24539
327,5651,373,318,2115,506,577,488,0,10029
328,6222,585,538,3276,639,718,784,107,12869
329,8655,467,330,4764,890,798,911,0,16814
330,14229,384,995,4701,493,824,2297,145,24068
331,9695,100,1336,5122,360,100,1540,0,18254
332,8973,2525,0,2953,1140,1113,0,0,16704
333,4375,403,472,2618,0,0,0,0,7868
334,9426,213,334,5123,713,169,443,0,16422
335,9148,1829,500,6414,556,59,495,0,19001
336,16332,526,147,4122,0,305,1538,0,22970
337,4176,646,956,4814,0,232,232,0,11055
338,8994,760,740,5660,0,460,0,0,16614
339,0,0,0,0,0,0,0,0,0
340,1530,353,273,843,227,771,99,19,4114
341,3406,21,221,899,117,0,68,0,4733
342,9709,2286,1291,5191,0,525,624,0,19625
343,834,28,168,549,61,61,28,0,1729
344,15041,1846,393,5022,1115,1228,1002,0,25646
345,8443,0,686,3960,441,0,1484,0,15014
346,0,0,0,0,0,0,0,0,0
347,18112,335,708,7797,150,0,931,0,28032
348,1184,86,166,671,98,0,79,0,2284
349,0,0,0,0,0,0,0,0,0
350,13010,649,2383,2027,0,0,243,0,18313
351,19471,0,5373,8628,0,0,305,134,33910
352,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
355,13351,2587,587,6095,227,0,1760,0,24606
356,25393,1036,1296,9989,519,0,1175,0,39408
357,1275,60,0,790,0,0,0,0,2125
358,8301,1322,1930,5716,577,0,0,0,17845
359,2910,320,216,4153,663,209,0,0,8472
360,3006,614,309,3631,0,0,309,0,7871
361,3547,317,203,2434,0,0,220,0,6721
362,3782,300,1102,554,262,952,473,0,7425
363,8777,1282,1209,3475,410,630,1797,0,17579
364,2828,0,142,1722,242,0,375,0,5309
365,1222,71,76,484,38,52,199,0,2142
366,6592,1174,869,3350,516,719,273,0,13494
