Zona,Pop_GenM_04,Pop_GenF_04,Total
501,24285,27017,51302
502,10483,10259,20742
503,2859,3044,5903
504,49662,56646,106308
505,3762,4171,7933
506,14849,18412,33261
507,9931,13394,23325
508,70405,68448,138853
509,2340,3165,5505
510,0,0,0
511,16170,19946,36116
512,28346,22211,50557
513,1698,1889,3587
514,54627,49999,104626
515,60296,60525,120821
516,64420,67188,131608
517,8590,9517,18107
