17_ZOrigem,17_Coletvo,17_Indiv,17_MMotor,17_MNMotor,17_Total
348,3630,2666,6295,2854,9150
349,0,292,292,0,292
350,26851,12816,39667,25294,64961
351,46166,26726,72892,44226,117117
352,1882,4526,6408,425,6833
353,379,0,379,0,379
354,0,493,493,0,493
355,25574,19897,45471,42333,87804
356,44687,15410,60097,71536,131633
357,1421,628,2049,2746,4794
358,13184,21623,34807,20478,55285
359,5546,11296,16842,7715,24556
360,8861,6422,15284,11921,27205
361,5975,3979,9954,6387,16341
362,55901,47517,103417,18186,121603
363,36951,55751,92702,34761,127463
364,16864,14414,31278,11247,42524
365,13020,8661,21682,4106,25788
366,32999,44022,77021,20888,97909
367,13460,20116,33576,16734,50310
368,21445,32940,54385,38489,92874
369,33468,46479,79947,34906,114853
370,52365,69883,122248,38502,160750
371,26597,44745,71343,34353,105695
372,38816,32264,71079,31290,102370
373,38350,62506,100856,43985,144842
374,20305,20183,40488,428,40916
375,40769,34752,75521,52458,127979
376,21331,25362,46693,45757,92450
377,88930,100622,189551,175189,364741
378,47244,35543,82787,50630,133417
379,21970,28464,50434,40707,91141
380,54970,18280,73250,63941,137191
381,0,0,0,0,0
382,60079,47052,107131,70911,178041
383,36558,17114,53672,56247,109919
384,14928,10445,25373,24537,49910
385,0,512,512,332,844
386,2703,2839,5542,4487,10029
387,40900,34415,75315,56215,131530
388,2830,3567,6396,3576,9972
389,15825,23808,39633,36717,76350
390,4940,6986,11926,4457,16384
391,42927,29329,72256,36881,109136
392,978,0,978,0,978
393,40285,40363,80647,64358,145005
394,9357,7468,16826,17437,34263
395,47626,34480,82106,65624,147730
396,44626,59359,103985,87448,191433
397,42967,23093,66060,51312,117372
398,28711,48551,77262,74016,151278
399,30029,11870,41899,36486,78385
400,49634,32873,82507,81898,164405
401,82223,80432,162656,141396,304051
402,9810,6469,16279,13217,29496
403,8733,3631,12363,10787,23150
404,47417,110068,157485,88598,246083
405,29168,28893,58061,20551,78612
406,37312,37190,74502,18023,92525
407,48160,63958,112118,82037,194155
408,21294,12732,34025,30916,64941
409,7924,6458,14381,10320,24702
410,5444,7284,12729,3899,16628
411,6939,10789,17728,6759,24487
412,15690,19867,35557,19341,54898
413,12980,8464,21444,15025,36469
414,8740,16303,25043,30182,55225
415,5799,6565,12363,19329,31693
416,6203,14878,21081,25693,46774
417,17804,48672,66476,44612,111088
418,17821,44363,62184,29955,92138
419,19625,40441,60065,34972,95037
420,4906,9913,14819,4363,19182
421,28113,29049,57162,22160,79322
422,126279,157268,283548,52039,335586
423,11507,30810,42317,6665,48982
424,17950,18743,36694,11271,47965
425,6169,15138,21307,15922,37229
426,17118,21845,38963,11394,50356
427,16886,30488,47374,24963,72338
428,21254,42504,63758,27237,90994
429,20961,44428,65389,35334,100723
430,22407,25604,48011,19798,67809
431,49673,78497,128169,54496,182665
432,42910,100753,143663,38363,182026
433,49409,46981,96391,43703,140093
434,1997,3628,5625,746,6371
435,34440,26645,61084,15018,76102
436,86393,87050,173442,89274,262717
437,71743,50745,122488,108526,231013
438,42195,29871,72067,51182,123249
439,8950,9447,18397,8170,26567
440,66120,65978,132098,44320,176418
441,12171,7471,19642,6881,26523
442,7638,6245,13883,4348,18232
443,6483,2725,9207,5230,14438
444,15479,7336,22815,24475,47291
445,52445,81856,134301,43685,177986
446,29050,48689,77739,39825,117564
447,26096,53219,79316,25211,104527
448,40229,58505,98734,40036,138770
449,90896,117728,208624,44051,252676
450,70389,73689,144077,106187,250264
451,52816,60907,113723,52093,165816
452,15682,17280,32961,28092,61053
453,13428,10389,23816,10629,34445
454,66449,56961,123411,102521,225931
455,49445,58753,108198,70504,178702
