16_ZOrigem,16_Metro,16_Trem,16_Onibus,16_TFret,16_TEscola,16_DirAuto,16_PAutomo,16_TaxCon,16_TaxNCon,16_DirMoto,16_PMoto,16_Bicicle,16_APé,16_Outros,16_Total
167,22138,8268,23773,0,1569,27639,7836,52,1290,1262,290,660,22185,0,116962
168,15186,8581,9272,204,814,13797,6954,199,0,1214,166,0,17490,257,74134
169,27648,1950,18987,0,1424,15977,5316,0,50,974,437,653,12228,379,86022
170,13109,945,26964,353,4518,17089,8115,172,241,1212,0,838,22526,1618,97701
171,12219,0,21009,247,1977,15076,6279,487,336,1073,0,0,22453,126,81281
172,6979,0,9782,0,1701,13331,6544,111,759,149,0,902,12310,0,52567
173,9998,0,4415,0,1161,6039,3051,0,0,1070,0,902,18923,0,45559
174,8144,1162,16067,0,7049,8385,3029,549,1014,992,0,1014,38558,276,86239
175,4549,297,9898,0,3803,8242,5891,46,236,736,433,0,25072,1332,60535
176,6459,249,6769,0,5617,11745,7596,0,0,775,0,0,19174,0,58384
177,820,334,3160,95,463,2700,962,0,62,167,0,251,5290,46,14347
178,1016,100,891,0,0,616,0,0,0,0,0,0,1266,0,3889
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8841,628,22571,630,5553,19698,4308,0,0,1000,0,1510,55631,0,120369
181,5711,711,13974,247,4939,15118,12378,0,0,0,0,188,26640,0,79906
182,6429,0,15948,0,3255,10172,2881,0,977,222,0,1057,22982,0,63922
183,9421,1622,13806,303,3731,12624,6195,0,1347,0,0,1948,17118,0,68115
184,4406,0,3894,0,2030,7814,2690,0,370,185,0,133,21431,0,42955
185,2806,193,6355,0,2068,4264,2195,234,0,0,0,0,11688,0,29802
186,1618,0,4342,97,2743,1421,1780,0,73,107,0,0,5532,0,17714
187,5288,3183,11289,342,2748,7825,1929,0,0,1894,0,1329,26774,342,62944
188,4957,2373,21991,0,3953,14102,5510,0,810,338,0,158,22758,0,76950
189,8161,4520,17625,0,1001,14044,13869,0,0,0,0,0,31285,0,90505
190,5961,2730,24708,0,6259,13576,8510,0,0,1502,296,0,20216,872,84631
191,7268,2733,10574,0,0,6382,319,0,0,184,0,0,1001,0,28462
192,7771,1140,5182,0,4483,6231,2947,73,102,757,0,0,22709,324,51718
193,4267,0,6959,0,2515,6238,1865,0,0,0,0,691,14721,0,37255
194,3916,0,7484,0,2276,1337,1216,0,0,705,0,0,16253,754,33942
195,6496,581,9580,317,2520,6090,1850,0,0,1280,0,0,19545,60,48318
196,4987,1770,11099,0,3638,4597,3482,0,0,777,0,980,19628,0,50956
197,3760,2773,9657,0,2574,10314,3004,0,0,558,333,137,16738,391,50242
198,5590,4801,33174,246,2709,17612,8007,0,129,1213,0,137,26504,1398,101522
199,8622,5642,17290,0,6754,16791,15628,0,2218,1441,0,7516,82860,682,165444
200,4405,3286,5380,0,565,5934,3620,0,0,1051,109,1270,27102,0,52723
201,6591,8327,19321,603,4408,19389,11162,0,0,1541,0,1533,66548,333,139756
202,11709,10634,15135,451,13389,13387,3139,0,0,1210,0,490,25058,589,95190
203,9984,3304,12830,0,2887,5370,3250,0,485,678,0,0,31451,0,70238
204,10852,10562,27118,758,3205,12790,10068,0,5770,2872,0,3562,81268,0,168827
205,17752,5556,18778,769,3262,18365,8256,0,0,1153,592,907,71310,0,146698
206,6004,4867,18079,0,12562,17744,10206,0,0,1152,976,479,29415,0,101484
207,5067,8575,16233,924,4485,13003,8540,0,843,1121,0,158,71634,97,130680
208,7324,2763,21744,268,4886,25656,9771,0,620,809,0,752,25377,0,99972
209,7242,0,14410,0,4284,18530,12786,0,0,998,602,0,21369,888,81109
210,8796,1966,17915,0,1114,24237,12338,482,3220,1555,0,1505,19035,0,92162
211,4119,0,36874,0,3229,28398,10177,371,0,2150,622,1621,22543,0,110104
212,3028,0,11163,0,351,8796,5291,0,0,1609,0,0,23751,331,54320
213,4725,320,23322,0,6872,14146,9374,0,888,1705,602,0,24270,0,86223
214,8366,0,10855,0,3855,7618,1926,0,0,1557,0,434,16462,0,51074
215,7931,0,9089,456,3550,21177,8785,173,193,1465,0,0,20290,372,73482
216,11576,540,6939,0,4275,15137,8201,0,949,27,0,0,21932,0,69576
217,7889,447,5755,364,4307,11908,6507,0,97,1046,0,0,25694,0,64014
218,20210,0,23489,0,6842,19452,12429,164,0,350,0,0,51981,639,135557
219,8169,0,16156,0,4724,19288,10349,0,0,687,0,3448,28016,1721,92558
220,4324,945,16176,358,1645,8630,5677,0,0,905,0,267,24242,62,63230
221,6218,0,18861,364,7300,18484,14612,0,223,1291,0,527,21592,62,89533
222,7687,1467,14034,0,2035,20462,10281,0,0,1886,0,0,20251,0,78105
223,4494,210,7905,0,3742,9633,4588,0,0,1954,0,0,8981,548,42056
224,577,0,3707,1535,0,1706,1743,0,0,0,0,0,3404,0,12672
225,4192,1180,13136,0,2974,7060,2949,0,0,708,0,0,20239,0,52438
226,21208,8687,20069,0,8289,26428,17056,0,0,2052,521,0,71490,0,175800
227,8320,6528,20402,897,9409,16051,10728,0,1348,240,0,0,17443,0,91367
228,6374,3643,10132,0,2306,7899,5724,0,0,910,0,660,21752,0,59400
229,20908,8776,64369,603,16861,23437,13689,0,0,563,365,660,95439,0,245669
230,12578,7168,22314,0,11967,12825,4778,0,1737,918,272,0,46638,0,121194
231,3754,363,17343,1118,3774,3952,1367,0,0,843,186,0,16405,910,50016
232,3502,98,22948,0,5685,7412,4051,0,0,1534,195,282,29261,0,74969
233,4901,489,25274,959,4483,9422,3070,0,0,1147,0,6284,38419,0,94449
234,4781,649,22680,684,2891,12683,6511,0,0,992,0,382,53415,0,105669
235,4151,0,23361,0,7989,15537,7094,0,0,3607,0,1405,37671,409,101225
236,3169,332,10685,88,1064,8305,3860,0,912,58,0,59,13815,0,42348
237,5143,418,12236,192,183,13916,4424,81,220,1248,97,77,9845,0,48080
238,8408,0,8129,135,1032,8722,5348,700,834,1336,0,72,8881,0,43596
239,11474,1127,16762,0,3832,20497,9313,15,1395,2425,0,932,13177,0,80949
240,4820,408,14872,0,58,11981,5072,502,202,1454,817,2024,13234,511,55955
241,3387,1276,6832,0,1165,6745,1658,0,166,926,0,1374,6341,213,30083
242,10978,2266,8330,0,2590,4951,2490,0,0,1497,243,5847,13428,0,52620
243,4993,344,14234,0,5216,17256,5854,0,350,2174,0,491,42763,0,93674
244,7509,0,22227,0,6692,14935,6637,0,1024,3235,0,1383,47389,0,111032
245,3573,0,6696,0,794,5627,1657,0,0,484,0,0,13966,0,32796
246,5894,0,15461,310,1783,7772,1929,0,168,2913,0,0,10205,455,46890
247,14055,0,48265,894,8281,34437,11034,1259,717,2740,0,0,77678,0,199361
248,318,0,1196,0,0,993,1709,0,0,704,704,251,108,0,5983
249,4138,0,13838,147,1104,13945,10084,238,0,337,0,880,20018,0,64729
250,4975,0,9246,0,1262,12040,5133,108,614,950,0,145,11948,0,46419
251,5722,0,7650,0,2477,10855,2159,0,1434,1017,219,0,6945,0,38478
252,6702,0,6706,0,2259,10180,996,0,106,339,0,0,17661,0,44948
253,1915,2654,1912,0,260,2176,114,22,363,755,0,169,2881,0,13221
254,24224,880,22185,0,2684,21584,10124,0,724,3912,600,34,17864,355,105170
255,4750,3553,14575,814,2484,36098,25008,0,0,103,0,3508,38430,436,129760
256,4094,1192,11739,261,2134,8704,4648,0,522,1047,556,0,8443,0,43340
257,5586,776,11371,0,1370,14185,9043,0,0,319,0,0,17523,0,60173
258,6192,369,29949,0,6876,17542,7794,0,0,1385,0,1009,23443,0,94559
259,1868,0,10888,208,3419,7031,4686,0,0,942,0,314,19236,139,48732
260,7470,0,12190,0,2315,6860,1478,0,0,779,0,1077,24802,0,56969
261,2139,0,28740,0,3298,17129,8198,0,253,1909,0,778,22027,0,84470
262,7197,499,24022,1314,2219,17619,10287,0,0,1158,0,504,42534,7018,114372
263,418,0,34946,287,6398,15406,7583,0,0,1662,0,0,49246,303,116249
264,5963,0,37430,0,3343,16537,8562,0,0,789,0,1276,34278,0,108178
265,6053,324,21696,92,1750,13947,12369,0,2855,2627,303,0,37922,0,99937
266,621,0,4624,0,1123,3769,1799,0,0,2611,0,0,7581,0,22129
267,2756,1126,11906,690,3285,9846,5496,0,0,275,275,222,18783,0,54660
268,1017,45,9801,290,1747,13266,2378,213,1059,1148,301,748,7772,0,39785
