Zona,TMV_Col_20,TMV_Ind_20,TMV_Ape_20,TMV_Bic_20,Total
414,37,22,17,31,106
415,90,21,10,18,139
416,32,30,13,17,91
417,53,18,14,11,95
418,53,20,15,0,89
419,49,22,15,13,99
420,53,30,14,28,125
421,61,34,13,16,124
422,54,24,15,74,167
423,42,27,15,0,84
424,59,24,16,0,100
425,64,19,10,20,113
426,54,21,17,8,100
427,56,24,15,0,94
428,58,18,10,10,96
429,50,21,11,0,83
430,76,17,12,60,165
431,50,20,15,50,135
432,59,21,13,0,93
433,44,20,10,56,129
434,63,50,15,5,132
435,58,28,13,0,99
436,43,23,13,0,79
437,57,20,15,0,92
438,57,21,13,0,90
439,64,33,17,0,113
440,55,26,14,15,109
441,41,22,13,30,107
442,61,32,16,38,147
443,44,26,15,0,86
444,49,25,15,0,89
445,43,28,15,0,86
446,58,26,13,23,120
447,51,27,10,28,116
448,47,22,12,11,92
449,50,24,17,10,100
450,45,28,11,25,108
451,43,28,13,0,83
452,48,26,10,15,98
453,41,28,13,0,83
454,49,28,9,32,119
455,53,23,15,18,109
456,49,21,13,5,87
457,47,18,12,18,95
458,48,22,14,50,134
459,43,29,14,0,86
460,58,23,16,40,136
461,59,18,12,42,132
462,54,24,12,30,121
463,45,26,10,0,81
464,68,29,11,0,107
465,72,22,12,17,124
466,44,35,14,30,123
467,62,29,11,40,142
468,58,21,14,13,106
469,46,33,21,0,99
470,47,23,15,30,116
471,46,28,12,0,86
472,57,16,18,30,121
473,66,41,21,17,144
474,52,24,18,0,94
475,39,22,15,15,92
476,43,22,14,30,109
477,56,31,9,7,102
478,68,37,8,0,114
479,76,23,27,0,125
480,44,18,9,20,91
481,62,20,10,0,92
482,57,23,13,20,114
483,73,32,20,0,125
484,51,30,14,0,95
485,53,25,14,30,122
486,61,20,11,0,92
487,54,21,10,50,135
488,51,33,13,0,97
489,57,39,11,0,106
490,56,29,11,30,126
491,75,27,15,30,148
492,59,26,11,15,110
493,51,32,13,15,111
494,56,28,12,0,96
495,50,28,13,28,119
496,64,19,12,10,105
497,47,26,12,13,98
