Zona,RF1_05,RF2_05,RF3_05,RF4_05,RF5_05,Total
323,9.03,47.19,38.33,4.62,0.86,62710
324,31.46,50.12,18.44,0,0,71351
325,12.5,50.61,33.47,3.43,0,40057
326,22.31,36.6,35.74,5.37,0,51055
327,14.82,29.19,13.52,17.66,24.83,19723
328,1.44,26.73,27.63,25.67,18.56,22657
329,8.16,31.06,29.81,12.22,18.77,34406
330,16.13,46.41,31.16,4.54,1.78,42282
331,3.61,65.79,21.65,4.72,4.26,42177
332,35.56,38.64,24.45,0.35,1.03,43732
333,13.85,57.86,26.59,1.72,0,19965
334,11.45,58,25.44,0.8,4.33,36683
335,19.04,34.74,33.97,6.42,5.86,40378
336,1.99,77.37,13.82,4.55,2.29,45585
337,8.95,38.34,35.07,7.65,10.02,22537
338,37.15,29.3,25.47,3.7,4.4,31544
339,NA,NA,NA,NA,NA,0
340,4.39,22.44,24.66,17.5,31.03,7738
341,1.06,25.71,40.79,18.25,14.22,10541
342,5.09,23.5,54.23,12.02,5.19,35707
343,14.26,54.6,29.89,1.24,0,3577
344,10.86,50.11,35.11,3.38,0.56,52690
345,12.9,69.55,17.56,0,0,41146
346,NA,NA,NA,NA,NA,0
347,20.09,48.36,29.78,1.44,0.36,69567
348,35.19,47.32,13.34,3.02,1.16,5011
349,NA,NA,NA,NA,NA,0
350,32.73,49.39,17.9,0,0,71944
351,25.61,63.46,10.6,0.35,0,75681
352,NA,NA,NA,NA,NA,0
353,NA,NA,NA,NA,NA,0
354,NA,NA,NA,NA,NA,0
355,24.37,57.6,18.05,0,0,58624
356,42.51,51.37,5.18,0.96,0,105824
357,23.48,74.71,1.84,0,0,5222
358,36.31,45.37,8.84,5.7,3.8,43904
359,39.43,36.47,18.13,2.52,3.47,17805
360,35.52,42.36,22.13,0,0,18078
361,45.54,46.42,4.49,3.57,0,14906
362,9.87,15.55,64.84,7.58,2.2,13285
363,6.89,51.7,30.33,6.76,4.34,41525
364,50.91,42.16,4.88,2.07,0,13419
365,16.21,37.89,28.46,17.46,0,4709
366,8.52,59.5,21.44,10.57,0,31525
367,15.98,28.96,30.06,21,4.02,27784
368,12.3,49.07,37.01,0.41,1.23,52057
369,14.29,37.58,37.39,7.44,3.32,55983
370,13.8,47.89,34.48,3.18,0.68,85786
371,13.98,51.48,29.1,2.95,2.51,75496
372,37.63,23.59,29.85,8.61,0.35,66738
373,18.66,49.44,30.72,1.19,0,70679
374,NA,NA,NA,NA,NA,0
375,21.46,49.84,28.71,0,0,87689
376,33.29,48.11,16.89,1.72,0,40452
377,25.84,47.44,21.49,4.04,1.21,187611
378,20.95,63.66,15.4,0,0,98639
379,15.64,57.12,26.61,0.65,0,60116
380,21.57,49.76,28.68,0,0,104648
381,NA,NA,NA,NA,NA,0
382,39.33,46.53,11.59,2.57,0,98771
383,38.23,39.53,20.98,1.28,0,76801
384,45.3,38.83,15.89,0,0,28884
385,NA,NA,NA,NA,NA,0
386,43.23,41.68,15.13,0,0,3894
387,17.83,67.01,12.65,0,2.53,76091
388,35.54,44.7,19.76,0,0,6394
389,34.87,37.24,19.39,2.51,6.02,40477
390,40.19,41.93,16.98,0,0.92,13603
391,38.04,47.82,11.35,2.81,0,82616
392,NA,NA,NA,NA,NA,0
393,33.14,44.31,22.56,0,0,104804
394,33.04,50.68,16.3,0,0,20039
395,28.1,51.13,20.05,0.74,0,93455
396,26.55,52.84,17.17,0.96,2.51,106623
397,23.85,73.69,2.48,0,0,71598
398,34.67,57.23,7.27,0.48,0.38,110433
399,40.98,53.05,5.99,0,0,70563
400,33.87,43.71,22.44,0,0,111948
401,32.05,53.03,10.33,4.19,0.43,136108
402,33.89,39.44,26.68,0,0,20755
403,34.22,49.28,15.62,0,0.89,15737
404,23.58,45.11,28.94,0.45,1.94,87648
405,14.58,38.6,33.99,5.12,7.74,33892
406,12.98,22.48,51.37,5.61,7.59,35118
407,22.24,52.65,23.47,1.66,0,113997
408,41.86,49.79,8.36,0,0,47561
409,44.37,40.31,15.34,0,0,16794
410,65.28,30.67,4.06,0,0,9392
411,26.23,40.64,33.14,0,0,15365
412,20.05,53.41,22.72,2.75,1.09,36330
413,32.4,24.49,34.81,6.09,2.24,26705
414,41.99,43.01,10.92,4.1,0,31477
415,33.81,61.95,4.26,0,0,16559
